Slang,Definition,Origin/Context,is_nsfw
baddie,"A confident, stylish, and attractive woman.","The term ""baddie"" originated in African American Vernacular English (AAVE) and gained mainstream popularity through social media platforms like Instagram and TikTok to describe trendsetting, highly groomed, and self-assured women. It is frequently used as a compliment to celebrate a woman’s aesthetic appeal, fashion sense, and independent attitude.",False
Bae,"A noun meaning a romantic partner, crush, or significant other. Derived from the term ""baby"" or ""babe"", but also used as an acronym for ""before anyone else"".","Example:*He's my bae, I love him so much. You're my bae, you always come first.*",False
Bail,"Leaving suddenly. It is used to refer to someone who leaves first, does not come, or suddenly leaves, especially in the context of hanging out, events, or plans together.",Example sentence: He bailed on our dinner plans. (He didn't come in our dinner plans).,False
Balls up,"Unplanned, messy, or failed. Used when something is completely messy/completely fails.",Example sentence: I really balls up the interview. (I really messed up the interview).,False
Banger,Super cool. Used to call an unbelievably cool song or movie.,Example sentence: That new track is a banger! (That latest track is really cool!),False
bar,A lyric in a rap song that is considered excellent.,"The term ""bars"" originated in hip-hop culture, referring to the four-beat measures that make up a line of rap music. Today, it is used to praise a rapper’s lyrical ingenuity, complex wordplay, or clever delivery.",False
based,"Originated from rapper Lil B The BasedGod, who defined it as ""...being yourself. Not being scared of what people think about you. Not being afraid to do what you wanna do.""",More contemporary use has been to express approval of someone or agreeing with another's opinion. Similar to W.,False
basic,"Pertaining to those who prefer mainstream products, trends, and music.","Derived from the term ""basic bitch"".",False
BB,"Synonym for ""babe"" or ""baby,"" but usually used for friends.","Pronounced ""bee bee.""",False
BDE,"Big D*** Energy. A compliment because it's a metaphor to signify that someone has the confidence of a well-endowed man, usually because they have good reason to be confident.",Can apply to both men and women.,True
bean soup theory,"The phenomenon where someone outside of a target audience attempts to seek accommodations for their personal tastes or situation, a form of the spotlight effect.",The term originates from a controversy around comments on a bean soup recipe video on TikTok asking for a version of the recipe without beans.,False
Bed,"Something really exciting, cool, or extraordinary. It is usually used to describe an atmosphere, event, or experience.",Example sentence: That party was lit! (The party was so much fun!),False
Bed rot,"The act of lying in bed for hours, sometimes watching television or reading a book, but mostly just being lazy.","Can represent a critique of hyperproductivity, but can also indicate poor mental health. ""I'm putting my phone on do not disturb all day Saturday, I have plans to bed rot.""",False
Rot,"The act of lying in bed for hours, sometimes watching television or reading a book, but mostly just being lazy.","Can represent a critique of hyperproductivity, but can also indicate poor mental health. ""I'm putting my phone on do not disturb all day Saturday, I have plans to bed rot.""",False
Beige flag,"Somewhere between a red flag and a green flag, this refers to a behavior or personality trait that is neither positive nor negative, just a little quirky or strange.","""My boyfriend's beige flag is that always sleeps with his shirts on backwards.""",False
bestie,"Abbreviation for ""best friend"".",Sometimes used humorously for someone the speaker/writer has no relationship with.,False
Bet,"Okay, agree, or ready. Used as a form of consent in everyday conversation.",Example sentence: Are you in for dinner tonight? Bet! (You're coming for dinner later? Okay!),False
bffr,"Acronym for ""be fucking for real"".","""Bffr"" is used to express disbelief or annoyance when someone says something absurd or out of touch, essentially telling them to stop acting or start being serious. It originated on social media platforms like TikTok and Twitter as a concise way to call out fake or ridiculous behavior.",True
BFFR,"""Be f****** for real"", ""be for real"", ""be so for real."" Used as an expression of disbelief or incredulity.","""I swear I saw Megan Thee Stallion in McDonald's once."" ""Dude, bffr.""",True
BFR,"""Be f****** for real"", ""be for real"", ""be so for real."" Used as an expression of disbelief or incredulity.","""I swear I saw Megan Thee Stallion in McDonald's once."" ""Dude, bffr.""",True
Be So FR,"""Be f****** for real"", ""be for real"", ""be so for real."" Used as an expression of disbelief or incredulity.","""I swear I saw Megan Thee Stallion in McDonald's once."" ""Dude, bffr.""",True
Biblically accurate,"Used to refer to anything characterized by an uncanny, alarming, and/or horrifying appearance.","Originating from art depicting ""biblically accurate angels"" (such as in Ezekiel and Revelation, with depictions of several sets of wings, multiple faces, and in some cases hundreds of eyes).",False
Big,A word that adds emphasis in multiple contexts.,(Big mad: Being extremely mad about something; big sad: really sad; big brain: someone/ something really smart.),False
Big yikes,"A reaction to something very embarrassing. More exciting than the word 'yikes', because this slang is used for something that is really very embarrassing.","Example sentence: He tripped on stage, big yikes! (He stumbled on stage, duh what a shame!)",False
Binge watch,Watch for hours non-stop. Used when you watch a series/movie/drama or show in a marathon/continuous.,Example sentence: I binge-watched all episodes of Clash of Champions Season 2 last night. (I marathoned all the episodes of Clash of Champions Season 2 last night).,False
Blast,"A very pleasant thing. It is used to express an experience that is enjoyable, or exciting. This slang can also be used when you want to spread info, messages, or news quickly.","Example sentence:That party was a blast! (The party was awesome!)
I'll blast the chat to the whole team. (I'll send that message to the whole team).",False
Blow chunks,Nausea/pain. Usually when you are sick or have severe diarrhea.,Example: I ate too much pizza last night. I almost blew chunks in the car! (I ate a lot of pizza last night. I almost threw up in the car!),False
Blow me down,Impressed/surprised. Used when something surprising or unexpected happens that makes you want to fall so shocked.,"Example sentence: Wow, blow me down! I didn't expect to see you here after all these years! (Wow, that's amazing! I didn't expect to see you here in all these years!",False
Blow off steam,Release stress. Used when you want to relax/relax after facing pressure.,Example sentence: Let's go party and blow off steam. (Let's party and release the fatigue).,False
blud,"A variant of the word ""blood brother"" or ""mate"".","""Blud"" originated in Multicultural London English (MLE) as a term for a close friend or ""blood brother,"" rooted in Caribbean patois. It is now widely used in Gen Z slang as a casual substitute for ""mate,"" ""bro,"" or ""man.""",False
Blue collar,Field workers. To name the type of work that uses physical.,Example sentence: He comes from a blue-collar family. (He comes from a family of field workers).,False
Blueprint,Used when someone did something so well that they became the standard by which everyone else does it.,"""Every boy band these days is trying to be OneDirection. They really are the blueprint.""",False
Body,An objectifying way to refer to someone you've been sexually intimate with.,"People refer to their ""body count"" when listing people they've slept with, and use the phrase ""that's a body"" to sexualize certain behaviors, even if they're not necessarily sexual. ""He made you a four-hour-long Spotify playlist for your road trip? That's a body.""",True
Boi,"Another way of spelling ""boy"" through text or on social media.","""Boi"" originated in internet subcultures and early meme culture as an informal, stylized spelling of ""boy,"" often used to convey a playful, ironic, or emphatic tone. It is frequently employed to express disbelief, excitement, or mock aggression, such as in the popular ""Ooh, kill 'em"" or ""Boi"" meme templates.",False
Bomb,"The word ""bomb"" in slang has several meanings, it can be very positive or even very negative. On the positive side, the bomb has a really cool/extraordinary meaning. But, on the negative side, the bomb is also used for things that fail completely.","Example sentence:You can do it because you are the bomb. (You can do it because you're amazing).
The movie bombed at the box office. (The film was a total failure in theaters.)",False
Boo,Girlfriend/Partner. A term for a couple.,Example sentence: I'm going out with my boo tonight. (I'm going with my boyfriend tonight).,False
Boo'd up,To be in a romantic relationship.,"The term ""boo'd up"" originated in African American Vernacular English (AAVE), derived from the French word ""beau"" (meaning boyfriend or admirer). It gained widespread popularity in mainstream culture following Ella Mai's 2017 hit song of the same name, which describes the feeling of being comfortably and exclusively committed to a romantic partner.",False
Book smart,Academically smart. To describe someone who is smart in theoretical sciences.,"Example sentence: She's really book smart but not very street smart. (He was really smart in theory, but not very smart in practice).",False
Boomer,A way to dismiss an older person who is criticizing a young person on a topic the teen doesn't think they understand.,"Also jokingly used to refer to anyone who references out-of-date memes or media. ""My grandpa told me to make a down payment on a house even though I work at Old Navy. Okay, boomer.""",False
Okay boomer,A way to dismiss an older person who is criticizing a young person on a topic the teen doesn't think they understand.,"Also jokingly used to refer to anyone who references out-of-date memes or media. ""My grandpa told me to make a down payment on a house even though I work at Old Navy. Okay, boomer.""",False
Bop,Used to call songs catchy or pleasant to listen to.,Example sentence: That song is a total bop! (That song is so good!),False
Bougie,"High class, rich, fancy (from ""bourgeois"").","""Is she wearing a real Cartier necklace? That's boujee!""",False
boujee,"High class, rich, fancy (from ""bourgeois"").","""Is she wearing a real Cartier necklace? That's boujee!""",False
Boujee,Fancy or pretentious. It is used to satirize or praise someone's pretentious lifestyle.,Example sentence: She's acting all boujee with her new bag. (He is acting pretentiously fancy with his new bag).,False
Bounce,Unplug/go. Used when you want to say goodbye to a place or event.,"Example sentence: It's getting late, I'm gonna bounce. (It's late, I'm leaving).",False
Bounce back,Rise from adversity. It is used to describe a person who has recovered from a slump.,Example sentence: She really bounced back after that breakup. (He actually got up after the breakup).,False
Boutta,About to.,"""Boutta"" is an AAVE-derived contraction of the phrase ""about to,"" commonly used in digital communication and casual speech to indicate an imminent action. It has become a staple of Gen Z slang as a shorthand for expressing something that is just about to happen in the immediate future.",False
Brain dump,"Pour out all the things remembered. Used when you want to pour all the contents of your thoughts into other media, such as paper or computer, without filtering/organizing them first.","Example sentence: Before I start writing the essay, I like to do a quick brain dump of everything I know about the topic. (Before I start writing essays, I like to pour out everything I know about the topic.)",False
Brain rot,"Content that is uninspired internet slop, or the act of watching said content.","""Brain rot"" originates from the feeling that consuming low-quality, overstimulating, or nonsensical internet content makes one feel mentally sluggish or ""rotten."" It is primarily used to describe addictive, mindless social media scrolling or the low-effort, chaotic digital media that characterizes modern internet humor.",False
Brainiac,"Very smart people. It is used to refer to people who are very smart/genius, especially in the academic field.","Example sentence: You solved that equation in seconds? Wow, you're such a brainiac! (You solved that problem in a matter of seconds? Wow, you're such a genius!)",False
brainrot,"The state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content, especially when characterized by online buzzwords (""skibidi"", ""fanum tax"", ""rizz"", etc).","Derived from the idea that one's brain would ""rot"" from consuming too much stimulating, addictive or degenerate content.",False
Brainstorm,Looking for ideas together. Used when discussing or looking for creative ideas with friends or colleagues.,"Example sentence: Let's brainstorm some ideas for the campaign. (Come on, let's discuss some ideas for this campaign).",False
Breadcrumbing,A form of romantic manipulation where somebody sporadically gives attention to another person to keep them interested without intending any commitment.,Also called Hansel and Grettelling.,False
Break Out,"Spread widely and suddenly. It is usually used when there is a person who is suddenly famous or has great success after starring in a particular project (movie, TV show, music, etc.).","Example sentence: That actor really broke out after starring in that series. Now, everyone knows his name! (The actor really skyrocketed after starring in the series. Now everyone knows his name!)",False
bro,Shortened version of brother.,"While it originated as a shortened form of ""brother,"" ""bro"" is now used as a gender-neutral term of address or an interjection to express camaraderie, disbelief, or frustration. It has evolved into a ubiquitous filler word in casual conversation across all generations, though it is a staple of Gen Z vernacular.",False
Broke,No money. Used when you don't have any money at all.,"Example sentence: I can't go out tonight, I'm broke. (I can't play tonight. I don't have any money).",False
Broken heart emoji 💔,"A way to express disappointment, like when something is unfunny.","In Gen Z slang, the broken heart emoji (💔) is used ironically to react to unfunny jokes, poor takes, or mild disappointments, signaling that the content was so bad it was ""painful"" to experience. It serves as a hyperbolic way to express secondhand embarrassment or lighthearted disapproval.",False
Bruh,"More modern version of ""bro.""","""Bruh"" originated in African American Vernacular English (AAVE) as a variation of ""brother"" and evolved into a versatile expression of disbelief, annoyance, or amusement. While it shares roots with ""bro,"" it is now widely used across internet culture as a standalone reaction to absurd or underwhelming situations.",False
bruh,"A variant of ""bro"" used to express shock, embarrassment, or disappointment.","""Bruh"" originated from African American Vernacular English (AAVE) as a phonetic shortening of ""brother"" and evolved into a widespread internet expression used to signal disbelief, frustration, or a mocking sense of exasperation. Its usage has shifted from a direct address to a standalone reaction to absurd or underwhelming situations.",False
bru,"A variant of ""bro"" used to express shock, embarrassment, or disappointment.","""Bruh"" originated from African American Vernacular English (AAVE) as a phonetic shortening of ""brother"" and evolved into a widespread internet expression used to signal disbelief, frustration, or a mocking sense of exasperation. Its usage has shifted from a direct address to a standalone reaction to absurd or underwhelming situations.",False
Buck up,Smile. It can be used to encourage someone who is sad or lethargic.,"Example sentence: Come on, buck up! Things will get better soon. (Let's get excited! Everything will get better.)",False
Bugs,"Mild pain or infection, usually due to the flu. It can also be used to refer to a software malfunction.",Example: I got a little bug yesterday. (I had a mild flu yesterday.),False
Burning the midnight oil,Overtime until night. Use it when you're still studying or working late into the night.,Example sentence: I've been burning the midnight oil for this deadline. (I worked late into the night to complete this deadline).,False
Burnout,Mental and physical fatigue due to too much pressure or overwork.,Example sentence: I'm feeling the burnout after back-to-back meetings. (I feel burnout after non-stop meetings).,False
Bussin,Very tasty. A popular slang to describe a very tasty meal.,Example sentence: This pizza is bussin! (This pizza is so good!),False
bussin',"Extremely good, excellent.",Originated from African-American vernacular for delicious food.,False
bussy,"Portmanteau of ""boy"" and ""pussy"" (slang for the vagina).",Effectively a man's anus.,True
Busted,Caught wet. Used when someone is caught doing something wrong.,Example sentence: He got busted cheating on the test. (He was caught cheating during the exam).,False
Cancel,"Boycotting someone socially, usually for making a major/fatal/controversial mistake.",Example sentence: He got canceled after the scandal. (He was boycotted after the scandal).,False
Canceled,Status after someone is publicly boycotted because it is considered problematic.,Example sentence: That celeb is canceled after the scandal. (The celeb was boycotted after the scandal).,False
Canon,"The actual plot of a book, movie, or show (canon) vs ideas people have that they want to be canon (headcanon).","""My headcanon is that Thor really likes cats."" ""You can't tell me Percy Jackson doesn't have ADHD; it's literally canon!""",False
Headcanon,"The actual plot of a book, movie, or show (canon) vs ideas people have that they want to be canon (headcanon).","""My headcanon is that Thor really likes cats."" ""You can't tell me Percy Jackson doesn't have ADHD; it's literally canon!""",False
Cap,Lies. Used to say a lie or something that is not believed.,"Example sentence: That's such a cap, no way she said that. (That's a big lie, there's no way he said that).",False
No Cap,"Lying, or not lying.","""I didn't even study for that test and I got an A, no cap.""",False
Catch feels,To develop romantic feelings for someone.,"Popularized by ""Feels"" by Calvin Harris ft. Katy Perry, Pharrell Williams, & Big Sean.",False
Catch these hands,"Means ""to fight"".","(e.g. ""My girlfriend is way prettier than yours,"" ""You boutta catch these hands"").",False
Catch up,Chat to release longing with friends/relatives.,"Example sentence: Let's grab coffee and catch up soon. (Come on, let's have a chat and a chat!)",False
Catfish,"Someone who pretends to be someone they're not on social media, either for dating or sexual purposes.","The term originated from the 2010 documentary *Catfish*, which followed a man discovering his online romantic interest was not who she claimed to be. It has since become common slang for anyone who creates a fake persona on social media to deceive others.",False
Caught in 4k,"To catch someone in the act, usually online, with proof.","Similar to having ""receipts.""",False
CEO Of,Being really talented at something.,"""Mark is the CEO of turning in his homework late.""",False
Chat,A way of referring to a group of people.,"Originated from live streamers asking their chat questions, ""Chat, was that the wrong move?"" It can also be used to reference ChatGPT.",False
Cheugy,"Cringey or awkward, specifically used by Gen Z in reference to trends from the early/mid 2000s.","Often used as an insult toward those who are Millennials/Gen X. ""You're still wearing skinny jeans? That's so cheugy.""",False
Chill,"Relax or calm down. Often used to describe a relaxed atmosphere, or to ask someone to calm down.",Example sentence: We just chilled at home after class. (We just relax at home after class).,False
Chopped,Being unattractive or undesirable.,"Can sometimes also refer to getting hung out to dry in one way or another. ""I am having such a bad hair day. I am so chopped.""",False
chud,Pejorative term for someone on the far-right.,Commonly used to mean a rude or unintelligent person.,False
Circle back,Discuss a topic again at a later time. Often used in professional or work contexts.,Example sentence: Let's circle back to this topic next week. (We'll discuss this topic again next week).,False
clanker,"Slur for robots, primarily used against generative artificial intelligence.",Originated from Star Wars media.,False
Clap back,Sharp or intelligent replies to criticism or negative comments on social media.,Example sentence: She clapped back at the haters on Twitter. (He replied to his haters on Twitter with a sharp comment).,False
Clapback,Responding to an insult with an equal or greater comeback.,"The new word for ""comeback.""",False
Clapped,"Can either mean being obliterated in a physical match, or ugly.","Originating from British slang, ""clapped"" describes something or someone as unattractive, though it is also commonly used in gaming to describe a player who has been soundly defeated or ""crushed.""",False
Clickbait,"A title or thumbnail that is made to attract attention, but the content is not as expected.",Example sentence: That video was just clickbait. (The video is just clickbait).,False
Clock,To notice or recognize something.,"Often used to call somebody out or to highlight a lack of awareness about something. ""I totally clocked her lying to me.""",False
clocking,To notice or recognize something.,"Often used to call somebody out or to highlight a lack of awareness about something. ""I totally clocked her lying to me.""",False
Clout,"Influence/prestige of a person, especially on social media.",Example sentence: He only hangs out with influencers for the clout. (He was just trying to get the audience to sign up.),False
Clueless,"Not knowing anything, or not being aware of what's going on. It is often used to someone who seems to lack update on what is going on, or someone who looks stupid (with a mocking tone).",Example sentence: She's completely clueless when it comes to computers. (He really didn't know anything about computers.),False
cook,"To ""cook"" is to perform or do well.","The slang term ""cook"" originates from the phrase ""let him cook,"" meaning to allow someone the space to perform or execute their craft without interference. It is now used to describe someone doing something exceptionally well or creating something impressive.",False
Cooked,"Being extremely tired, overwhelmed, or close to exhaustion.","Note the difference between this and ""let her/him cook,"" which has a positive association.",False
cooked,"To ""be cooked"" is to be in trouble.","The term ""cooked"" originates from African American Vernacular English (AAVE) and implies that someone is ""done for"" or facing inevitable failure, much like food being thoroughly heated or overdone. It is commonly used in Gen Z slang to describe a person who is in a hopeless situation or is about to face severe consequences.",False
Cool,"Cool, okay, or agree to something.","Example sentence: So, the plan is we're going to take a taxi? Ok, cool. (So the plan is to take a taxi? Okay, sip).",False
Coworking,Work together in public places such as cafes or co-working spaces.,"Example sentence: Let's cowork at that café tomorrow. (Come on, work together at the café tomorrow).",False
cracked,To be skilled at something.,"Alternatively, ""getting cracked"" or ""cracking"" means to have sex.",True
Cram,"Impromptu learning. Used when you learn something in a short time before an exam, or the easy term overnight speed system (SKS).",Example sentence: I had to cram all night for the math test. (I had to study overnight for the math exam).,False
Crash,"Falling asleep because you are too tired, or staying at someone's place.",Example sentence: Can I crash at your place tonight? (May I stay at your place tonight?),False
crash out,To make a reckless or regrettable decision after a bout of rage or upset.,"Originated in the African-American community, specifically in Louisiana with usage by rappers like NBA YoungBoy, but became popular on TikTok in 2024.",False
crine,"Variant pronunciation/spelling of ""crying,"" typically meaning crying & dying from laughter (equivalent to ""dying of laughter"" or ""I'm crying"").","Often used in phrases like ""Son I'm crine"".",False
Cringe,It's embarrassing because it's weird. It is used to describe something that is embarrassing or uncomfortable.,Example sentence: That video was so cringe! (The video is so embarrassing!),False
Cringey,"Cringe-worthy, awkward.","""Cringey"" originated as an informal adjective derived from the verb ""cringe,"" describing something so socially awkward or embarrassing that it causes a visceral reaction of secondhand discomfort. While the term has existed for decades, it became staple Gen Z slang used to dismiss behaviors or content perceived as uncool, desperate, or lacking self-awareness.",False
Crush,Sigh. To mention the person who is being liked/valued.,Example sentence: I think I have a crush on Lutfi. (I think I'm having a crush on Lutfi.),False
Crushing it,Doing a very good job. It is used to praise someone's outstanding performance.,Example sentence: You're totally crushing it at your new job! (You're so cool in your new job!),False
Cursed,Something having bad luck/vibes associated with it.,"""I keep getting such low scores on my PSAT. I'm cursed.""",False
Curve,To reject someone romantically or sexually.,"The term originated from the idea of ""throwing a curveball"" in a relationship, essentially diverting or rejecting an advance to avoid it hitting its target. It is used to describe the act of shutting someone down or ignoring their romantic interest.",False
D,Short for d***.,"""She just wants the D.""",True
Dead,"Very exciting. Used when someone laughs until they feel ""out of style"".","Example sentence: That meme was hilarious, I'm dead. (It's so funny, I'm so excited.)",False
dead,"Humorous to such an extent as to ""kill you"".","Laughter and death have been associated since Ancient Greece, where it is held that Zeuxis died from laughing at a portrait of an ugly woman he was painting.",False
ded,"Humorous to such an extent as to ""kill you"".","Laughter and death have been associated since Ancient Greece, where it is held that Zeuxis died from laughing at a portrait of an ugly woman he was painting.",False
dying,"When something is so funny, you can't handle it.","""Oh my gosh that TikTok, I'm dead.""",False
Deada****,"Straight up, for real, no joke.","""Deadass"" originated in New York City African American Vernacular English (AAVE) in the late 20th century before spreading globally via social media. It is used as an intensifier to emphasize that a statement is truthful, serious, or not a joke.",False
Deadass,Seriously. To affirm that what is being said is really serious.,Example: I'm deadass telling the truth. (I'm seriously telling the truth.),False
Death,"Similar to bro, pal, or buddy, which means friend, best friend, or colleague. This word is commonly used in casual conversation.","Example sentence: Good day mate, how are you? (Hello friends, how are you?)",False
Deep dive,"In-depth analysis. It is often used in the world of work, for example when you are discussing something in detail or in depth.",Example sentence: Let's do a deep dive into the data. (Let's analyze the data more deeply).,False
Delulu,"Shorthand for ""delusional,"" used to call out someone in a humorous way for choosing to reject reality in favor of a more interesting/appealing interpretation of events.","""Did you hear what the guy at Chipotle said to me? I think it was love at first sight."" ""He just said 'have a nice day,' I think he says that to every customer. You are completely delulu.""",False
delusionship,A relationship in which someone holds unrealistic or overly idealistic beliefs.,"A person who holds such beliefs is considered ""delulu"".",False
dih,Ironic Algospeak for dick.,Usually used with the wilting flower or eggplant emoji.,True
DM,"It stands for Direct Message. A popular term for direct messaging, especially on social media.",Example sentence: Just DM me the details. (Just DM me the details).,False
DMs are open,Ready to receive private messages. It is commonly used on social media to show that someone is open to being talked to personally.,Example sentence: DMs are open if you wanna talk! (DMs are open if you want to talk!),False
Doing the most,Being over the top.,"""Doing the most"" originated in African American Vernacular English (AAVE) and is used to describe someone who is acting excessive, dramatic, or putting in unnecessary effort for attention. It serves as a critique of someone who is going beyond what is reasonable or expected in a given social situation.",False
Done,"To be completely over a task, person, emotion, or situation.","""Done"" is derived from the standard English expression ""done with,"" meaning one has reached their limit of tolerance or patience. It is used in Gen Z slang to signal that someone is emotionally exhausted by a situation and is choosing to disengage entirely.",False
Doomscrolling,To call the habit of consuming content that is not useful or not important continuously.,Example sentence: I need to stop doomscrolling before bed. (I have to stop scrolling through unimportant things before going to bed).,False
Dope,"It's really cool. Used to refer to something really cool, good, or amazing.",Example sentence: Your sneakers are dope! (Your shoes are so cool!),False
Drag,Criticizing something all the way. It is generally used on social media when someone or something is criticized harshly.,Example sentence: Twitter dragged that brand after the ad failed. (Twitter users immediately harshly criticized the brand after its ad failed.),False
Dragged,To embarrass or mock somebody.,"The term ""dragged"" originated in ballroom culture, where performers would ""read"" or critique others, and it evolved in digital spaces to describe the act of ruthlessly criticizing or exposing someone online. It is now commonly used when a person is publicly shamed, roasted, or intellectually dismantled in a social media argument.",False
Drama,"Conflict or commotion involving emotions. It usually refers to problems in a group of friends, couples, family, and other relationships.",Example sentence: There's always drama in that group chat. (The group chat is always full of drama).,False
Drip,Cool/fashionable dress style.,Example sentence: He's got serious drip with that jacket. (The jacket is really cool).,False
Dripped out,Refers to a really cool outfit or item of clothing.,"""Drip"" originated in Southern hip-hop culture during the early 2010s as a way to describe someone's expensive or stylish appearance, comparing their outfit to liquid gold or jewelry. It is used today to compliment someone’s high-fashion sense or ""swag.""",False
Drop,"In slang, drop has several meanings, depending on the context. Can release something if it's used in the world of music, games, fashion, or social media; send/share something if it's followed by a link, file, or information; leave/come somewhere; fall; even drop if it concerns price/level.","Example sentence:He just dropped a new album! (He just released a new album!)
Can you drop the link? (Can you give me the link?)
I'll drop you at the station. (I'll wait for you to get to the station.)",False
DTF,Down to f***.,"Originating in the late 1990s and early 2000s, ""DTF"" is a shorthand used to signal that an individual is sexually available or interested in casual sex. While it has been common on dating apps for years, it remains a staple of modern digital slang for expressing sexual intent or blunt physical interest.",True
Dude,"A familiar greeting for close friends, it has the same meaning as ""bro"" or ""men"". Commonly used in casual conversation.","Example sentence: Dude, that was awesome! (Bro, that's really cool!)",False
Dump,"The word dump basically means ""throwing"" or ""dropping"" something suddenly and violently. However, this meaning later developed and was applied in various contexts. On Instagram, for example, the term dump is used to summarize photos (photo dumps) or videos (video dumps) in a certain time span.","Example sentence:I'm going to dump this old clothes. (I'm going to throw away these old clothes)
This is my latest photo dump from my vacation. (Here's the latest photo dump from my vacation.)",False
Dunno,"It stands for ""don't know"". An informal form that is often used in chats with friends.","Example sentence: When someone asks, ""Do you know where Lisa is?"", you don't know and want to answer briefly, so reply with, ""Dunno.""",False
Eat,"A shorthand compliment or a way to refer to something that is a more cool, glamorous, elevated version of something else.","A derivation of ""ate and left no crumbs."" (""That dress absolutely eats."" ""I love the Met Gala, it's like Halloween costumes if they ate""). They can also be found as one-word comments on social media posts indicating a positive and approving reaction (""Did you see Maisie Williams' bleached eyebrows? Ate"").",False
