slang,definition,origin_context
Boo'd up,To be in a romantic relationship.,The term boo'd up originated in African American Vernacular English (AAVE) derived from the French word beau (meaning boyfriend or admirer). It gained widespread popularity in mainstream culture following Ella Mai's 2017 hit song of the same name which describes the feeling of being comfortably and exclusively committed to a romantic partner.
Book smart,Academically smart. To describe someone who is smart in theoretical sciences.,Example sentence: She's really book smart but not very street smart. (He was really smart in theory but not very smart in practice).
Boomer,A way to dismiss an older person who is criticizing a young person on a topic the teen doesn't think they understand.,Also jokingly used to refer to anyone who references out-of-date memes or media. My grandpa told me to make a down payment on a house even though I work at Old Navy. Okay boomer.
Okay boomer,A way to dismiss an older person who is criticizing a young person on a topic the teen doesn't think they understand.,Also jokingly used to refer to anyone who references out-of-date memes or media. My grandpa told me to make a down payment on a house even though I work at Old Navy. Okay boomer.
Bop,Used to call songs catchy or pleasant to listen to.,Example sentence: That song is a total bop! (That song is so good!)
Bougie,High class rich fancy (from bourgeois).,Is she wearing a real Cartier necklace? That's boujee!
boujee,High class rich fancy (from bourgeois).,Is she wearing a real Cartier necklace? That's boujee!
Bounce,Unplug/go. Used when you want to say goodbye to a place or event.,Example sentence: It's getting late I'm gonna bounce. (It's late I'm leaving).
Bounce back,Rise from adversity. It is used to describe a person who has recovered from a slump.,Example sentence: She really bounced back after that breakup. (He actually got up after the breakup).
Brain dump,Pour out all the things remembered. Used when you want to pour all the contents of your thoughts into other media such as paper or computer without filtering/organizing them first.,Example sentence: Before I start writing the essay I like to do a quick brain dump of everything I know about the topic. (Before I start writing essays I like to pour out everything I know about the topic.)
Brain rot,Content that is uninspired internet slop or the act of watching said content.,Brain rot originates from the feeling that consuming low-quality overstimulating or nonsensical internet content makes one feel mentally sluggish or rotten. It is primarily used to describe addictive mindless social media scrolling or the low-effort chaotic digital media that characterizes modern internet humor.
Brainiac,Very smart people. It is used to refer to people who are very smart/genius especially in the academic field.,Example sentence: You solved that equation in seconds? Wow you're such a brainiac! (You solved that problem in a matter of seconds? Wow you're such a genius!)
brainrot,The state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content especially when characterized by online buzzwords (skibidi fanum tax rizz etc).,Derived from the idea that one's brain would rot from consuming too much stimulating addictive or degenerate content.
Brainstorm,Looking for ideas together. Used when discussing or looking for creative ideas with friends or colleagues.,Example sentence: Let's brainstorm some ideas for the campaign. (Come on let's discuss some ideas for this campaign).
Breadcrumbing,A form of romantic manipulation where somebody sporadically gives attention to another person to keep them interested without intending any commitment.,Also called Hansel and Grettelling.
Break Out,Spread widely and suddenly. It is usually used when there is a person who is suddenly famous or has great success after starring in a particular project (movie TV show music etc.).,Example sentence: That actor really broke out after starring in that series. Now everyone knows his name! (The actor really skyrocketed after starring in the series. Now everyone knows his name!)
Broke,No money. Used when you don't have any money at all.,Example sentence: I can't go out tonight I'm broke. (I can't play tonight. I don't have any money).
Broken heart emoji 💔,A way to express disappointment like when something is unfunny.,In Gen Z slang the broken heart emoji (💔) is used ironically to react to unfunny jokes poor takes or mild disappointments signaling that the content was so bad it was painful to experience. It serves as a hyperbolic way to express secondhand embarrassment or lighthearted disapproval.
Bruh,More modern version of bro.,Bruh originated in African American Vernacular English (AAVE) as a variation of brother and evolved into a versatile expression of disbelief annoyance or amusement. While it shares roots with bro it is now widely used across internet culture as a standalone reaction to absurd or underwhelming situations.
bru,A variant of bro used to express shock embarrassment or disappointment.,Bruh originated from African American Vernacular English (AAVE) as a phonetic shortening of brother and evolved into a widespread internet expression used to signal disbelief frustration or a mocking sense of exasperation. Its usage has shifted from a direct address to a standalone reaction to absurd or underwhelming situations.
Buck up,Smile. It can be used to encourage someone who is sad or lethargic.,Example sentence: Come on buck up! Things will get better soon. (Let's get excited! Everything will get better.)
Bugs,Mild pain or infection usually due to the flu. It can also be used to refer to a software malfunction.,Example: I got a little bug yesterday. (I had a mild flu yesterday.)
Burning the midnight oil,Overtime until night. Use it when you're still studying or working late into the night.,Example sentence: I've been burning the midnight oil for this deadline. (I worked late into the night to complete this deadline).
Burnout,Mental and physical fatigue due to too much pressure or overwork.,Example sentence: I'm feeling the burnout after back-to-back meetings. (I feel burnout after non-stop meetings).
Bussin,Very tasty. A popular slang to describe a very tasty meal.,Example sentence: This pizza is bussin! (This pizza is so good!)
Busted,Caught wet. Used when someone is caught doing something wrong.,Example sentence: He got busted cheating on the test. (He was caught cheating during the exam).
Cancel,Boycotting someone socially usually for making a major/fatal/controversial mistake.,Example sentence: He got canceled after the scandal. (He was boycotted after the scandal).
Canceled,Status after someone is publicly boycotted because it is considered problematic.,Example sentence: That celeb is canceled after the scandal. (The celeb was boycotted after the scandal).
Canon,The actual plot of a book movie or show (canon) vs ideas people have that they want to be canon (headcanon).,My headcanon is that Thor really likes cats. You can't tell me Percy Jackson doesn't have ADHD; it's literally canon!
Headcanon,The actual plot of a book movie or show (canon) vs ideas people have that they want to be canon (headcanon).,My headcanon is that Thor really likes cats. You can't tell me Percy Jackson doesn't have ADHD; it's literally canon!
Cap,Lies. Used to say a lie or something that is not believed.,Example sentence: That's such a cap no way she said that. (That's a big lie there's no way he said that).
Catch feels,To develop romantic feelings for someone.,Popularized by Feels by Calvin Harris ft. Katy Perry Pharrell Williams & Big Sean.
Catch up,Chat to release longing with friends/relatives.,Example sentence: Let's grab coffee and catch up soon. (Come on let's have a chat and a chat!)
Catfish,Someone who pretends to be someone they're not on social media either for dating or sexual purposes.,The term originated from the 2010 documentary *Catfish* which followed a man discovering his online romantic interest was not who she claimed to be. It has since become common slang for anyone who creates a fake persona on social media to deceive others.
Caught in 4k,To catch someone in the act usually online with proof.,Similar to having receipts.
CEO Of,Being really talented at something.,Mark is the CEO of turning in his homework late.
Chat,A way of referring to a group of people.,Originated from live streamers asking their chat questions Chat was that the wrong move? It can also be used to reference ChatGPT.
Cheugy,Cringey or awkward specifically used by Gen Z in reference to trends from the early/mid 2000s.,Often used as an insult toward those who are Millennials/Gen X. You're still wearing skinny jeans? That's so cheugy.
Chill,Relax or calm down. Often used to describe a relaxed atmosphere or to ask someone to calm down.,Example sentence: We just chilled at home after class. (We just relax at home after class).
chud,Pejorative term for someone on the far-right.,Commonly used to mean a rude or unintelligent person.
Circle back,Discuss a topic again at a later time. Often used in professional or work contexts.,Example sentence: Let's circle back to this topic next week. (We'll discuss this topic again next week).
clanker,Slur for robots primarily used against generative artificial intelligence.,Originated from Star Wars media.
Clap back,Sharp or intelligent replies to criticism or negative comments on social media.,Example sentence: She clapped back at the haters on Twitter. (He replied to his haters on Twitter with a sharp comment).
Clapback,Responding to an insult with an equal or greater comeback.,The new word for comeback.
Clapped,Can either mean being obliterated in a physical match or ugly.,Originating from British slang clapped describes something or someone as unattractive though it is also commonly used in gaming to describe a player who has been soundly defeated or crushed.
Clickbait,A title or thumbnail that is made to attract attention but the content is not as expected.,Example sentence: That video was just clickbait. (The video is just clickbait).
Clock,To notice or recognize something.,Often used to call somebody out or to highlight a lack of awareness about something. I totally clocked her lying to me.
clocking,To notice or recognize something.,Often used to call somebody out or to highlight a lack of awareness about something. I totally clocked her lying to me.
Clout,Influence/prestige of a person especially on social media.,Example sentence: He only hangs out with influencers for the clout. (He was just trying to get the audience to sign up.)
Clueless,Not knowing anything or not being aware of what's going on. It is often used to someone who seems to lack update on what is going on or someone who looks stupid (with a mocking tone).,Example sentence: She's completely clueless when it comes to computers. (He really didn't know anything about computers.)
cook,To cook is to perform or do well.,The slang term cook originates from the phrase let him cook meaning to allow someone the space to perform or execute their craft without interference. It is now used to describe someone doing something exceptionally well or creating something impressive.
Cooked,Being extremely tired overwhelmed or close to exhaustion.,Note the difference between this and let her/him cook which has a positive association.
Cool,Cool okay or agree to something.,Example sentence: So the plan is we're going to take a taxi? Ok cool. (So the plan is to take a taxi? Okay sip).
Coworking,Work together in public places such as cafes or co-working spaces.,Example sentence: Let's cowork at that café tomorrow. (Come on work together at the café tomorrow).
Cram,Impromptu learning. Used when you learn something in a short time before an exam or the easy term overnight speed system (SKS).,Example sentence: I had to cram all night for the math test. (I had to study overnight for the math exam).
Crash,Falling asleep because you are too tired or staying at someone's place.,Example sentence: Can I crash at your place tonight? (May I stay at your place tonight?)
crash out,To make a reckless or regrettable decision after a bout of rage or upset.,Originated in the African-American community specifically in Louisiana with usage by rappers like NBA YoungBoy but became popular on TikTok in 2024.
crine,Variant pronunciation/spelling of crying typically meaning crying & dying from laughter (equivalent to dying of laughter or I'm crying).,Often used in phrases like Son I'm crine.
Cringe,It's embarrassing because it's weird. It is used to describe something that is embarrassing or uncomfortable.,Example sentence: That video was so cringe! (The video is so embarrassing!)
Crush,Sigh. To mention the person who is being liked/valued.,Example sentence: I think I have a crush on Lutfi. (I think I'm having a crush on Lutfi.)
Crushing it,Doing a very good job. It is used to praise someone's outstanding performance.,Example sentence: You're totally crushing it at your new job! (You're so cool in your new job!)
Cursed,Something having bad luck/vibes associated with it.,I keep getting such low scores on my PSAT. I'm cursed.
Curve,To reject someone romantically or sexually.,The term originated from the idea of throwing a curveball in a relationship essentially diverting or rejecting an advance to avoid it hitting its target. It is used to describe the act of shutting someone down or ignoring their romantic interest.
Dead,Very exciting. Used when someone laughs until they feel out of style.,Example sentence: That meme was hilarious I'm dead. (It's so funny I'm so excited.)
ded,Humorous to such an extent as to kill you.,Laughter and death have been associated since Ancient Greece where it is held that Zeuxis died from laughing at a portrait of an ugly woman he was painting.
dying,When something is so funny you can't handle it.,Oh my gosh that TikTok I'm dead.
Deada****,Straight up for real no joke.,Deadass originated in New York City African American Vernacular English (AAVE) in the late 20th century before spreading globally via social media. It is used as an intensifier to emphasize that a statement is truthful serious or not a joke.
Deadass,Seriously. To affirm that what is being said is really serious.,Example: I'm deadass telling the truth. (I'm seriously telling the truth.)
Death,Similar to bro pal or buddy which means friend best friend or colleague. This word is commonly used in casual conversation.,Example sentence: Good day mate how are you? (Hello friends how are you?)
Deep dive,In-depth analysis. It is often used in the world of work for example when you are discussing something in detail or in depth.,Example sentence: Let's do a deep dive into the data. (Let's analyze the data more deeply).
Delulu,Shorthand for delusional used to call out someone in a humorous way for choosing to reject reality in favor of a more interesting/appealing interpretation of events.,Did you hear what the guy at Chipotle said to me? I think it was love at first sight. He just said 'have a nice day ' I think he says that to every customer. You are completely delulu.
delusionship,A relationship in which someone holds unrealistic or overly idealistic beliefs.,A person who holds such beliefs is considered delulu.
DM,It stands for Direct Message. A popular term for direct messaging especially on social media.,Example sentence: Just DM me the details. (Just DM me the details).
DMs are open,Ready to receive private messages. It is commonly used on social media to show that someone is open to being talked to personally.,Example sentence: DMs are open if you wanna talk! (DMs are open if you want to talk!)
Done,To be completely over a task person emotion or situation.,Done is derived from the standard English expression done with meaning one has reached their limit of tolerance or patience. It is used in Gen Z slang to signal that someone is emotionally exhausted by a situation and is choosing to disengage entirely.
Doomscrolling,To call the habit of consuming content that is not useful or not important continuously.,Example sentence: I need to stop doomscrolling before bed. (I have to stop scrolling through unimportant things before going to bed).
Dope,It's really cool. Used to refer to something really cool good or amazing.,Example sentence: Your sneakers are dope! (Your shoes are so cool!)
Drag,Criticizing something all the way. It is generally used on social media when someone or something is criticized harshly.,Example sentence: Twitter dragged that brand after the ad failed. (Twitter users immediately harshly criticized the brand after its ad failed.)
Dragged,To embarrass or mock somebody.,The term dragged originated in ballroom culture where performers would read or critique others and it evolved in digital spaces to describe the act of ruthlessly criticizing or exposing someone online. It is now commonly used when a person is publicly shamed roasted or intellectually dismantled in a social media argument.
Drama,Conflict or commotion involving emotions. It usually refers to problems in a group of friends couples family and other relationships.,Example sentence: There's always drama in that group chat. (The group chat is always full of drama).
Dripped out,Refers to a really cool outfit or item of clothing.,Drip originated in Southern hip-hop culture during the early 2010s as a way to describe someone's expensive or stylish appearance comparing their outfit to liquid gold or jewelry. It is used today to compliment someone’s high-fashion sense or swag.
Drop,In slang drop has several meanings depending on the context. Can release something if it's used in the world of music games fashion or social media; send/share something if it's followed by a link file or information; leave/come somewhere; fall; even drop if it concerns price/level.,Example sentence:He just dropped a new album! (He just released a new album!) Can you drop the link? (Can you give me the link?) I'll drop you at the station. (I'll wait for you to get to the station.)
Dude,A familiar greeting for close friends it has the same meaning as bro or men. Commonly used in casual conversation.,Example sentence: Dude that was awesome! (Bro that's really cool!)
Dump,The word dump basically means throwing or dropping something suddenly and violently. However this meaning later developed and was applied in various contexts. On Instagram for example the term dump is used to summarize photos (photo dumps) or videos (video dumps) in a certain time span.,Example sentence:I'm going to dump this old clothes. (I'm going to throw away these old clothes) This is my latest photo dump from my vacation. (Here's the latest photo dump from my vacation.)
Dunno,It stands for don't know. An informal form that is often used in chats with friends.,Example sentence: When someone asks Do you know where Lisa is? you don't know and want to answer briefly so reply with Dunno.
Eat,A shorthand compliment or a way to refer to something that is a more cool glamorous elevated version of something else.,A derivation of ate and left no crumbs. (That dress absolutely eats. I love the Met Gala it's like Halloween costumes if they ate). They can also be found as one-word comments on social media posts indicating a positive and approving reaction (Did you see Maisie Williams' bleached eyebrows? Ate).
Era,Refers to a specific period in someone's life where they're focusing on a certain aesthetic or lifestyle.,Popularized by Taylor Swift's shifts in style between her albums. These can be as simple or complex as is desired; examples may include villain era healing era and not caring about what people think just focusing on my own life and being content with what I have era.
Extra,Excessive in action. Used to describe someone who is too excited.,Example sentence: She's being so extra about her birthday. (She was very excited about her birthday.)
Facts,Facts are used to show when you really agree or affirm something that is true. It is usually used in casual conversation when you agree with someone else's statement.,Example sentence: Facts. That's exactly how I feel. (That's right. That's exactly how I feel.)
Fam,It is an abbreviation for family but in slang it means broader. It can mean the closest people both family and close friends. Generally used as a warm or familiar greeting.,Example sentence: What's up fam? (How are you bro/sis?)
fanum tax,Theft of food between friends.,Fanum tax originated from popular streamer Kai Cenat who frequently joked about stealing food from his friend and fellow streamer Fanum during their broadcasts. The term has since evolved into a general Gen Z slang expression for playfully or stealthily taking a portion of someone else's meal.
Filter,In the context of social media filters are visual effects that are used to change the appearance of a photo or video for example beautifying a face adding color or giving a funny effect.,Example sentence: She looks totally different with that filter. (He looks very different using that filter.)
finna,Short for I am going to or I am about to.,The term has its roots in Southern American English where fixing to has been used to mean getting ready to since the 18th century. Often used interchangeably with gonna.
Fire,This means that it is really cool extraordinary or very top-notch. It is usually used for music fashion food or anything that is considered very good.,Example sentence: That new album is straight fire! (The new album is really cool!)
Fit,Fit stands for outfit meaning a person's clothing or style of dress. It is usually used to compliment the appearance of others.,Example sentence: That's a cute fit you're wearing. (The clothes you wear are really funny.)
Fit check,Well if a fit check is an invitation when someone wants to show the outfit/style of dress that is being worn. Usually this term is often used on social media.,Example sentence: Let's do a fit check before we head out. (Come on check the outfit first before we leave.)
Flex,In slang flex means to show off something usually in the form of expensive items achievements or lifestyles. It can be neutral (just showy) or negative (arrogant).,Example sentence: He flexed his new car on Instagram. (He showed off his new car on Instagram.)
Flex on,More specifically than flex flex on means showing off something with the aim of showing off in front of others.,Example sentence: He's flexing on everyone with his new car. (He showed off his new car to everyone.)
flop era,When a person is not getting enough likes and views and starts posting memes and putting text over it in hope of going viral.,Primarily used on TikTok and Twitter.
Flunk,Failing an exam or failing a subject/lecture. This word is usually used for academic situations.,Example sentence: He flunked his chemistry test again. (He failed again on the Chemistry test.)
FOMO,An acronym for fear of missing out meaning the anxiety or regret of not being part of something fun or exciting such as a social event or a trend.,Example:*I have FOMO I wish I was at the concert. Don't let FOMO get to you you're not missing much.*
Freshman,In college slang in America freshman means freshman or freshman. This word is commonly used to describe people who are just starting college or high school.,Example sentence: He's a freshman this semester. (He's a freshman this semester.)
Fruity,Suggestive of being gay not always logically.,Rain is fruity and I'm not explaining why.
FYP,FYP is a TikTok term for a primary recommendation page. If our video enters the FYP it means that the video appears on the homepage of many people and has the potential to go viral.,Example sentence: My video made it to the FYP! (My video is in FYP!)
gagged,Shocked amazed or at a loss for words.,Gagged originates from ballroom culture and LGBTQ+ slang where it signifies being so stunned by someone’s performance or appearance that you are choked up or left speechless. In modern Gen Z usage it is commonly employed to express extreme surprise or being thoroughly impressed by something.
gem,A high quality post or poster specifically of a Soyjak on the imageboard soyjak.party.,The term gem originates from the imageboard soyjak.party where it is used to describe a particularly high-quality or relatable soyjak caricature. It has since evolved into a niche internet slang used to praise content that users find exceptionally clever or aesthetically pleasing within that specific subculture.
Ghost,A verb meaning to ignore avoid or cut off contact with someone usually a romantic interest without explanation or warning.,Example:*He ghosted me after two dates. Don't ghost her just tell her how you feel.*
Ghosting,Disappearing without notice usually in the context of a friendship or romance. It is often used when someone suddenly stops replying to messages or calls for no apparent reason.,Example sentence: I thought we were close but she ghosted me. (I thought we were close but he suddenly disappeared.)
Gig,Short-term or temporary jobs. Originally the term was popular in the music world (for band performances) but now it's often used for freelance or side jobs.,Example: She got a gig as a freelance designer. (He got a job as a freelance designer.)
Girl dinner,Refers to the occasionally strange collections of food girls find themselves putting together for a cooking-free meal.,These range from the charming and curated (like an artfully prepared charcuterie board) to the downright unhealthy like leftover french fries a piece of cheese and half an energy bar.
Girl math,Refers to the sometimes strange sometimes silly and often relatable ways that women describe seeing their finances.,The phrase is something of an inside joke in women both online and off but has also been used derogatively to suggest that all women are bad with money. If I paid for the concert tickets six months ago I've had enough paydays since then that it might as well be free. That is some girl math.
glaze,To hype praise or compliment someone so much that it becomes annoying or excessive.,The term glaze originated from the idea of glazing someone with excessive praise essentially coating them in compliments until it becomes embarrassing or sycophantic. It is primarily used in internet culture to describe someone who is acting like a fanboy or obsessively defending another person.
Glow,Shining or looking attractive it is usually used to compliment someone's appearance that looks fresh or happy.,Example sentence: You're glowing today! (You look so shining today!)
Glow up,Slang for positive transformation usually in terms of one's appearance confidence or lifestyle.,Example sentence: She had a major glow up since high school. (She's turned completely into a cooler person since high school.)
Glow down,The opposite of glow up glow-down means a negative change in a person from before.,Example sentence: He had a serious glow-down since high school. (He changed drastically to be less attractive since high school.)
gng,Used to refer to a close group of friends or as a casual greeting/address (e.g. wassup gng meaning what's up gang).,Can also mean good night gang in parting contexts especially among gamers or online communities.
Go off,Giving someone permission to rant about something or someone they're mad about.,She was so rude. Go off!
Goals,A noun meaning something that is desirable admirable or aspirational. Often used with hashtags (#) to indicate what one wants to achieve or have in life.,Example: *They're so cute together #relationshipgoals. She's so successful #careergoals.*
GOAT,Acronym for greatest of all time.,The term GOAT originated in the 1990s notably popularized by boxing legend Muhammad Ali who referred to himself as the greatest. It is now widely used in sports music and pop culture to identify someone or something as the undisputed best in their field.
good boy,A phrase that is mockingly used when one is told to do something and they do it.,The phrase is derived from the way people praise dogs for doing an instructed task.
good girl,A phrase that is mockingly used when one is told to do something and they do it.,The phrase is derived from the way people praise dogs for doing an instructed task.
goofy ahh,An AAVE phrase and slang term meaning goofy ass used to label content as goofy or silly.,Goofy ahh originated from text-to-speech mispronunciations of goofy ass in viral TikTok memes where the filter would replace the ss sound with ah. It is now widely used on social media to mock or describe content that is perceived as absurd silly or awkward.
Grand's,Grands is slang for calling grandmother and grandfather aka grandparents in a short and familiar way.,Example sentence: I'm going to visit Grands. (I want to visit my grandparents.)
green flag,Behaviors or personality traits that are considered positive healthy or desirable.,Originating from the metaphor of a green traffic light signaling that it is safe to proceed the term is used in dating and social contexts to identify healthy positive traits in a person. It serves as the direct opposite of a red flag indicating that someone is a safe or desirable partner or friend.
Grind,Constant hard work to achieve a goal be it work school or personal endeavor.,Example sentence: The grind never stops when you're chasing your dreams. (Hard work never stops when you're chasing your dreams.)
Grub,In slang grub means food. Used in a casual or casual tone usually when inviting a meal together.,Example sentence: Let's grab some grub. (Come on find food.)
Gucci,Meaning good cool fashionable or excellent.,Used to express approval or satisfaction for something. Originated from the luxury brand Gucci.
Hang out,Hang out together or spend some relaxing time with friends/family.,Let's hang out this weekend! (Let's get together this weekend!)
Hangry,A combination of the word hungry + angry. It means angry or in a bad mood because of hunger.,Example sentence: Don't talk to me now I'm hangry. (Don't talk to me yet I'm angry because I'm hungry.)
Hashtag,On social media hashtags (hashtags #) are used to tag specific categories or topics to make posts easy to find.,Example sentence: Don't forget to use hashtags to get more views. (Don't forget to wear hashtag to get more views.)
High key,Slang for something very obvious real or overt. The opposite of low-key which means secretly.,Example sentence: I high-key want that new phone. (I really want the new phone.)
Highkey,An adverb meaning openly obviously or intensely. Often used to express a strong or exaggerated opinion or emotion.,Example: *Highkey this is the best pizza ever. I highkey love her.*
hit different,To be better in a distinctive manner.,The origin of the term is unclear.
Hit the books,Phrases that mean start studying seriously usually for exams or big assignments.,Example sentence: I need to hit the books this weekend. (I have to study seriously this weekend.)
Hit the ground running,Slang to work quickly and full of energy right from the start. Often used in the world of work or when working on new projects.,Example sentence: She hit the ground running on her first day. (He was immediately dexterous at work on his first day.)
Hits different,Something that affects you in a bigger way than other things.,This sandwich hits different!
Hold this L,Hold this L is a taunting phrase used to mock or ridicule someone who has experienced a loss failure or embarrassing situation. The L stands for the word loss.,The L stands for the word loss
Hooked,Really like or be addicted to something whether it's a song movie game or activity.,Example sentence: I'm totally hooked with this song so good! (I'm so addicted to this song it's so cool!)
Hot girl summer,Hot girl summer is a phrase that encourages women to embrace confidence self-acceptance and living life to the fullest during the summer months. It promotes a carefree empowered and unapologetic attitude.,Hot girl summer originated from a 2019 tweet by rapper Megan Thee Stallion who defined it as a period for women to be unapologetically themselves and have fun. The term quickly went viral evolving into a cultural movement focused on confidence self-love and living life to the fullest.
Hot mess,Slang for someone or a messy situation but there's still a funny or interesting side to it.,Example sentence: I'm a hot mess during finals week. (I was really screwed up during the week of the final exam.)
Hustle,Working hard with a lot of effort is often used to motivate or describe how hard a person works to achieve a goal.,Example sentence: Gotta hustle if you want to hit that deadline. (You'll have to work hard if you want to catch up on that deadline.)
Hype,Hype is used to describe something that is exciting crowded or high in enthusiasm. It can be for events trends or atmospheres.,Example sentence: The party last night was hype! (Last night's party was very crowded and exciting!)
Hypebeast,It is used to refer to someone who really likes trendy items especially fashion and often buys branded products for style.,Example sentence: He's such a hypebeast with those shoes. (He's a very hypebeast with those shoes.)
I fear,A way to preface saying something very bluntly.,I fear you aren't ready to take this exam or I fear that color is not working on you.
I oop,Used to express shock embarrassment and/or amusement.,I oop originated from a 2019 viral video by drag queen Jasmine Masters where she accidentally interrupted herself mid-sentence after hitting her chair. It is now commonly used in digital spaces to express a sudden realization faux pas or unexpected reaction to a messy situation.
